id	category	title
12437476	APPAREL	Milwaukee Bucks Nike x Filip Pagowski Men's NBA T-Shirt
13028428	APPAREL	Nike Player (NFL Raiders) Men's Lightweight Jacket
12995980	APPAREL	Nike College Dri-FIT DNA (Arizona) Men's Shorts
12768531	APPAREL	Jordan Legacy AJ4 Pants
12914684	FOOTWEAR	Nike Air Max 97 Men's Shoe
12951126	FOOTWEAR	Nike Air Force 1 LV8 2 Big Kids' Shoe
12951167	FOOTWEAR	Nike Air Force 1 LV8 2 Big Kids' Shoe
12908208	FOOTWEAR	Nike Air Zoom Vomero 14 Women's Running Shoe (Wide)
13022786	FOOTWEAR	Nike Air Max Goadome Men's Boot
12847405	EQUIPMENT	Nike Knit Headband
13131306	APPAREL	Jordan AJ4 Men's Graphic T-Shirt
13098171	APPAREL	Jordan AJ4 Men's Graphic T-Shirt
12437510	APPAREL	Sacramento Kings Nike x Filip Pagowski Men's NBA T-Shirt
13018064	FOOTWEAR	Air Jordan 1 Mid SE Big Kids' Shoe
12849563	FOOTWEAR	Nike Benassi Duo Ultra Women's Slide
10872909	FOOTWEAR	Nike Benassi Duo Ultra Women's Slide
12794018	APPAREL	U.S. 2020 Vapor Match Away Men's Soccer Jersey
12974986	FOOTWEAR	Zoom Freak 2 Naija Basketball Shoe
12863675	FOOTWEAR	Jordan Air Max 200 Big Kids' Shoe
12861669	FOOTWEAR	Nike Air Max 270 React Women's Shoe
12860268	FOOTWEAR	Nike Air Max 270 React Women's Shoe
12861665	FOOTWEAR	Nike Air Max 270 React Women's Shoe
12860346	FOOTWEAR	Nike Air Max 270 React SE Women's Shoe
12860266	FOOTWEAR	Nike Air Max 270 React Women's Shoe
12860257	FOOTWEAR	Nike Air Max 270 React Women's Shoe
12817831	FOOTWEAR	Nike Air Max 270 React Women's Shoe
12792812	FOOTWEAR	Nike Air Max 270 React Women's Shoe
12792807	FOOTWEAR	Nike Air Max 270 React Women's Shoe
13016039	APPAREL	Club América Women's Pre-Match Soccer Top
12816266	APPAREL	England 2020 Stadium Away Big Kids' Soccer Jersey
13097228	APPAREL	Jordan AJ4 Graphic Fleece Pants
12788445	FOOTWEAR	Nike Air Max 1 G Men's Golf Shoe
12788485	FOOTWEAR	Nike Air Max 1 G Men's Golf Shoe
13000732	FOOTWEAR	Nike Air Max 1 G Men's Golf Shoe
12821172	FOOTWEAR	LeBron Soldier 13 LA Big Kids' Basketball Shoe
12860309	APPAREL	Inter Milan 2020/21 Vapor Match Home Men's Soccer Jersey
12927461	FOOTWEAR	Nike Air Max 90 Men's Shoe
12715609	FOOTWEAR	Nike Air Max 95 Utility Men's Shoe
12715500	FOOTWEAR	Nike Air Max 95 Utility Men's Shoe
12715600	FOOTWEAR	Nike Air Max 95 Utility Men's Shoe
12789885	FOOTWEAR	Nike Cortez Basic Premium Men's Shoe
12997086	FOOTWEAR	Nike Air Max 95 Men's Shoe
12571864	APPAREL	Nike College Dri-FIT Coach (Virginia Tech) Men's Shorts
11456199	FOOTWEAR	Nike Cortez Basic Baby/Toddler Shoe
11456196	FOOTWEAR	Nike Cortez Basic Baby/Toddler Shoe
11607738	FOOTWEAR	Nike Cortez Basic Baby/Toddler Shoe
12865331	FOOTWEAR	Air Jordan 1 Low SE Shoe
12865327	FOOTWEAR	Air Jordan 1 Low SE Shoe
13019687	FOOTWEAR	Nike Blazer Mid '77 Vintage Women's Shoe
13019644	FOOTWEAR	Nike Blazer Mid '77 Vintage Women's Shoe
12940512	FOOTWEAR	Nike Blazer Mid '77 Vintage Women's Shoe
